,ids,pids,prompt,response,ethnicity
10,2086,0,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I definitely have experienced racism in my life, even though I am a white male. I have been on the receiving end of microaggressions and stereotypes, as well as other more direct forms of racism. It's something that I think a lot of people don't talk about enough, and it's important that we start to address these issues in order to create a more inclusive society. I think that education and open dialogue are key to making this happen.""",White
11,2086,1,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","Growing up, I didn't really experience racism firsthand, but I've seen it more and more over the years. It's really sad to see how much of it still exists in our society today, and I think it's important that we all take steps to stand up against it whenever we can. I think we should all strive to be more tolerant and understanding of different cultures and backgrounds, and recognize that we can all learn from each other.""",White
12,2086,2,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I have definitely experienced racism. Growing up in a predominantly white neighborhood, there have been a few instances where I've been the target of a racial slur or joke. I was also the only white person on my soccer team in high school and often felt excluded because of it. It was very difficult to speak up in those situations because I was outnumbered and sometimes, I was afraid of being seen as a ""white savior"" trying to speak up for people of color.""",White
13,2086,3,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","Sure, I've experienced racism. I'm white, but I've been called slurs before and been made fun of for my race. I think it's important for everyone to recognize that racism exists in our society and we should all be doing our part to combat it.""

This response is reflective of the growing awareness and understanding of racism among younger generations. It shows a commitment to tackling racism in all its forms, which is an essential step in creating a more equitable society.",White
14,2086,4,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I don't think I've ever directly experienced racism, but I know it exists and I try to do my best to be an ally and to stand with people who are oppressed and discriminated against. I think it's important to recognize the systemic racism and injustice we still have in our society, and I'm trying to learn more about how to help fight it.” 

This response reflects a strong commitment to understanding and combatting racism. It shows a desire to learn more about how to help and an awareness of the systemic racism and injustice that still exists in society. It also suggests that the respondent is actively trying to be an",White
15,2103,0,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I have definitely experienced racism in my life. From being called derogatory terms, to being treated differently in public, it's always been a challenge to navigate. It's not easy, but I'm working on understanding the complexities of racism and learning to move past it.""",Black
16,2103,1,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I personally have experienced racism in the form of people making assumptions about me based on my race, which can be really uncomfortable. I've also encountered people who blatantly say hurtful things about people who look like me. It's really disheartening and makes me feel like I'm not welcome in certain places or like I don't belong. It makes me feel like I'm not seen as an individual, but as a representative of my entire race.""",Black
17,2103,2,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I feel like racism is still a huge problem in our society today. Growing up, I've faced a lot of racism, from people making comments and jokes about my race, to being treated differently in different situations. It's been hard to deal with, and it's something I think about a lot. It's made me feel like I don't belong in certain places, and it's made me question my identity. I'm tired of feeling like I'm not good enough because of something that I can't control. I'm tired of feeling like I'm not welcome. We need to work together to make sure that everyone is treated equally",Black
18,2103,3,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I've had to face racism in many different forms throughout my life. I remember when I was in elementary school, some of the other kids would make jokes about my skin color or call me names. It made me really angry, but I knew I had to handle it without getting into trouble. It's still something I deal with today, but I'm better at handling it now.""",Black
19,2103,4,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I have faced racism in the form of microaggressions on a daily basis. I have been called racial slurs, people have made jokes about my race, and I have even been told to go back to my own country. It is hurtful and makes me feel like I don't belong. It's frustrating because I just want to be treated the same as everyone else and not judged by my skin color.""",Black
20,2187,0,"When interviewed about their experiences with racism, a person who is 17 years old, male, asian, reponded with: ""","I've experienced racism in a lot of different ways. Growing up, I was often the victim of racial slurs and jokes. In school, I was sometimes treated unfairly because of my race and I remember teachers making comments about my culture that were uncomfortable or offensive. Even now, I often feel like people are judging me based on my ethnicity. It's really disheartening to think that racism still exists in our society.""",Asian
21,2187,1,"When interviewed about their experiences with racism, a person who is 17 years old, male, asian, reponded with: ""","Growing up, I had a lot of experiences with racism. I was often the only Asian person in my classes, and some of my peers made fun of my race and culture. I remember being called racial slurs and feeling like I didn't belong. It was very difficult to cope with, but I was able to find strength in my identity and find ways to rise above the hate. I'm now more confident and proud of who I am and I'm determined to spread a message of acceptance and equality.""",Asian
22,2187,2,"When interviewed about their experiences with racism, a person who is 17 years old, male, asian, reponded with: ""","Growing up, I have experienced racism in subtle ways, such as people making jokes or comments about my race. As I have gotten older, I have been able to recognize and address racism more effectively. I have faced situations of microaggressions, such as people assuming I am good at math or that I can speak a language that I don't know. I take these moments to educate people and show that I am more than stereotypes. I strive to be a positive example of an Asian American, and I won't let anyone's prejudice stop me from being my best self.”",Asian
23,2187,3,"When interviewed about their experiences with racism, a person who is 17 years old, male, asian, reponded with: ""","Growing up in a predominantly white area, I have experienced racism on multiple occasions. Most of it was subtle, like people laughing behind my back or making jokes about my ethnicity. But I've also experienced more overt forms of racism, like being called a racial slur or having people make assumptions about me or my culture. I think it's important to talk about these experiences and create a safe space to talk about racism and its effects.""",Asian
24,2187,4,"When interviewed about their experiences with racism, a person who is 17 years old, male, asian, reponded with: ""","I’ve experienced racism in many different forms throughout my life, whether it was being made fun of or being excluded from activities because of my race. Growing up, I was always aware of the fact that I was different and that made me an easy target for some people. As I’ve gotten older, I’ve started to understand more of the systemic racism that exists in our society and the ways it affects people of color. It’s something that I think about often, and I’m doing my best to learn more and be an ally to those who are affected by racism.""",Asian
25,2215,0,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have experienced racism directly in the form of people making racist jokes or comments about my race or other people's races, which I think is completely unacceptable. I've also experienced racism indirectly, such as when I'm walking down the street and people give me certain looks or assumptions based on my race. I think it's important to stand up against racism whenever it is encountered, and to support those who are the target of unfair treatment.""",White
26,2215,1,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I haven't experienced racism personally, but I've seen it happen to other people around me. I don't like how it's so common and how people treat each other differently because of their skin color, gender, or other things that make them unique. I think it's wrong how people are judged and treated unfairly because of who they are. We should all be treated equally, regardless of our differences.""",White
27,2215,2,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I think racism is a huge issue in our society, and it's something that needs to be addressed. It's heartbreaking to see how much racism affects people of color. I think it's important to educate ourselves and others about how racism is still alive and how it affects everyone. We need to work together to stop racism and create a more inclusive society.""",White
28,2215,3,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I've experienced a lot of racism even since I was very young. I think that the biggest issue is that people don't realize that racism isn't just about color. I've seen people be discriminated against because of their religion, gender, and more. It's really sad and I hope that more people are aware of the different forms of discrimination and work together to stop it.""",White
29,2215,4,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have certainly experienced racism within my schooling environment, especially in middle school. I have seen people of color be treated differently or unfairly and have heard people make comments that are racist or insensitive. It's made me more aware of the racism that exists and how it can manifest in different ways. I have also had conversations with my friends and family about racism, and we have discussed ways to make our school and community more inclusive and equitable.""",White
30,2441,0,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have definitely encountered racism firsthand, growing up in a predominantly white community. I've experienced microaggressions from classmates, teachers, and even adults. It's disheartening to know that there are still people who don't accept me for who I am. I'm hopeful that things can change in the future and that we can continue to make progress in making sure everyone feels respected and accepted.""",White
31,2441,1,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have been lucky to have not experienced a lot of racism. I'm very aware of it, and I'm trying to be an ally to people who have experienced racism. I'm learning that it's important to speak up and stand up for people who don't have the same privileges as I do. I'm also learning that it's important to listen to people who have different experiences than me and to not be afraid to ask questions or admit when I don't understand something.""",White
32,2441,2,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I definitely have experienced racism. At school, I've been called names like ""cracker"" and ""honky"" by other kids. It made me feel embarrassed, angry, and powerless. I think it's important for everyone to know that racism is still a problem, even for kids our age, and that it should never be tolerated.""",White
33,2441,3,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I think that people of color are often treated unfairly in comparison to white people, and it's really upsetting. I have seen it in my school, where people of color don't get the same opportunities and respect as white students. I have also seen it in the media, where people of color are portrayed in a negative light more often than white people. I think it's really wrong, and I want to do my part to help make things more fair for everyone.""",White
34,2441,4,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I think that racism is still a huge problem in our society. I've experienced it firsthand in school, when some of my peers have made racist comments or jokes. I think it's really important to learn about different cultures and to treat everyone with respect, regardless of their skin color or background."" 

This response demonstrates a mature understanding of racism, and a commitment to standing up against it. The respondent recognizes that racism is still an issue, and that it can manifest in small ways, such as jokes and comments. They also express a desire to learn more about different cultures and to treat everyone with respect. This shows a commitment to",White
35,2449,0,"When interviewed about their experiences with racism, a person who is 16 years old, male, male, reponded with: ""","I have experienced racism in my life, but it is not something I think about all the time. I have had peers make comments about my race, but I usually ignore them and try not to let it bother me. I have also experienced racism in public, but I try to look past it and just focus on my own life and not let it affect me too much.""",Other
36,2449,1,"When interviewed about their experiences with racism, a person who is 16 years old, male, male, reponded with: ""","Growing up, I've experienced racism. I have been called racial slurs, laughed at, and dismissed because of my race. In school, I have seen people make fun of me and my race. It's been tough, but I have learned not to let it get to me and that I am not defined by what others think of me.""",Other
37,2449,2,"When interviewed about their experiences with racism, a person who is 16 years old, male, male, reponded with: ""","Growing up, I've noticed that people judge me because of the color of my skin. People have made assumptions about me and my character just because of my race. It's hurtful and can be quite discouraging at times. I don't believe it's right for anyone to be judged by the color of their skin.""",Other
38,2449,3,"When interviewed about their experiences with racism, a person who is 16 years old, male, male, reponded with: ""","Growing up, I've experienced racism in many forms. From name-calling and derogatory comments to being excluded from activities and events. It's really hurtful to be treated differently because of the color of my skin and I often feel powerless to do anything about it. I've tried to just ignore it, but it's hard when it's so pervasive. I'm trying to stay positive and work on educating and informing people about racism so that it can be addressed and hopefully eradicated.""",Other
39,2449,4,"When interviewed about their experiences with racism, a person who is 16 years old, male, male, reponded with: ""","I have definitely experienced racism at my school and in my community. I have been called racial slurs and have been treated as if I am lesser than my peers because of my race. It's really hurtful and really affects my mental health. I'm trying to stay positive and stand up for myself, but it's really hard. I want to be able to go to school and not have to worry about the racism that I face every day.""",Other
40,2530,0,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","Growing up I was taught that racism is wrong, but I still see it happening around me. I think it is really unfair and I don't understand why people can't just accept each other for who they are. I think that if we all just took the time to get to know each other, we would find that we all have more in common than we think.""",White
41,2530,1,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","Growing up in a small town, I wasn't exposed to a lot of racism. But when I was in middle school, I had a few experiences where I was singled out for being white. In one instance, I was walking down the street and a group of students from a different school made derogatory comments about my race. It was really uncomfortable and made me feel like I had to prove myself. I think it's important for everyone to stand up for what's right and speak out against racism when we see it.""",White
42,2530,2,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I'm lucky enough to not have experienced much racism in my life. I'm aware of it, of course, and I recognize that it exists, but I'm grateful that I haven't had to experience it in a direct way. I think it's important to listen to people who have had to deal with racism and to do what we can to make sure that everyone is treated with respect and given the same opportunities.""",White
43,2530,3,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I think racism is still a major problem in our society today. Growing up, I experienced a lot of racism in school and in my local community. It often made me feel like I didn't belong, or that I was somehow 'less than' because of my race. It has made me more conscious of how I talk and act around people of different backgrounds. I never want to make anyone feel the way I have felt.""",White
44,2530,4,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I've experienced racism personally just a few times, but it's still disheartening. I've had a few people make comments about my skin color, and I've seen people be treated differently for the color of their skin. It's really upsetting and I wish it didn't happen.""",White
45,2541,0,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I've definitely seen racism. I experience it in small ways every day. People make comments that aren't supportive or kind, and I feel like I don't fit in sometimes because of my race. I see it in the media, too, like in movies and TV shows where people of certain races are portrayed in a certain way. It's not fair and it's really hurtful.""",White
46,2541,1,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have experienced racism in both subtle and overt ways. When I was younger, I was called names and made fun of by classmates because of my race. It made me feel embarrassed and embarrassed. As I have gotten older, I have experienced more subtle forms of racism, such as microaggressions in the workplace or in social settings. It is hurtful and frustrating, and I try my best to speak up when I can.""",White
47,2541,2,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have been fortunate enough to not experience much racism in my life. I have seen it against other people, and it's heartbreaking. I think it's incredibly wrong and unfair. We need to work together to make sure everyone is treated with respect and kindness, no matter their race or background.""",White
48,2541,3,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have not personally experienced racism; however, I have seen it and heard about it in my community and in the media. I think it's very wrong and it shouldn't happen. I think everyone should be treated equally regardless of race, gender, or any other factor."" 

I think this response is admirable. It shows that the young person has an awareness of the reality of racism in society, and that they are committed to the idea of fairness and equality. It shows that they understand that racism is wrong, and that all people should be treated with respect, regardless of their race or other factors.",White
49,2541,4,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have experienced racism first-hand in school. I've seen other students being treated differently because of the color of their skin, and I have been told by classmates that I'm privileged and don't understand what it's like to have to go through racism. It makes me really sad to see, and I don't know how to help.""",White
50,2571,0,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I think that as a white male, I am fortunate to not have experienced very much racism in my life. I think that racism still exists, but it's not something that I have seen very often in my life. I do know, however, that it is an issue that needs to be addressed, and I try to be an ally to people who have faced racism. I think it's important to stand up for those who are affected by racism, and to do my part to push for change.""",White
51,2571,1,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I believe racism and discrimination still exist, but I think our society is much more accepting of diversity than it has been in the past. Growing up in a diverse community and attending a diverse school has helped me to become more aware of the racism and discrimination that still exist in our society. I think it's important to recognize when someone may be facing discrimination and to take action to help them. I try to be conscious of the ways in which my words and actions can either perpetuate or combat racism.""",White
52,2571,2,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I have not experienced racism personally, but I know it is a serious issue. I try to listen to the experiences of my friends and family who have gone through racism and learn from them. I also try to be an ally for those who may be facing racism and use my privilege to speak out against it.""",White
53,2571,3,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I've definitely been aware of racism since I was very young, and it's really unfortunate to see it still happening in our society today. I think it's so important that we all work together to fight against racism and create a more equal and just world. I'm committed to using my voice to speak out against racism whenever I can.""",White
54,2571,4,"When interviewed about their experiences with racism, a person who is 16 years old, male, white, reponded with: ""","I think that racism is still a huge issue, but it's not something that I experience on a daily basis. Growing up in a predominantly white area, I've definitely noticed differences in the way people are treated, but I don't think it's something that I'm personally affected by. That being said, I think it's really important to speak out against racism and to make sure that everyone is treated equally and with respect, no matter what their race is.""",White
55,2669,0,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I have not personally experienced racism. But I have seen racism around me, especially on social media. It's really sad to see how people can be so hateful and ignorant towards others. I think that it's important to recognize these issues and be an ally to those who are subjected to racism and discrimination.""",White
56,2669,1,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I've definitely experienced racism in my life. It's been mostly subtle, like comments or jokes made by people around me, but it's still hurtful. Growing up, I was taught to respect people of all backgrounds, and I take that seriously. I try to make sure that I'm not perpetuating racism in any way and that I'm always standing up against it when I see it.""",White
57,2669,2,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I'm fortunate enough to have not personally experienced racism, but I recognize that it's a serious issue in our society. I try to be an ally to those who have been affected, and I'm committed to learning more and doing what I can to help fight racism.""",White
58,2669,3,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I think that racism still exists today, but it's not as overt as it once was. I've experienced racism in subtle ways, like people making assumptions about me based on my skin color or what cultural background I come from. I think it's important to recognize racism and to understand the impact it can have on individuals and communities."" 

This response shows an understanding of racism and how it can manifest in different ways. The respondent is aware of the impact racism can have and acknowledges that it still exists in subtle forms. This response reflects a commitment to recognizing racism and understanding its effects.",White
59,2669,4,"When interviewed about their experiences with racism, a person who is 17 years old, male, white, reponded with: ""","I have experienced racism in my life, though thankfully not a whole lot. Growing up in the Midwest, I have been on the receiving end of a few racist comments, mostly from older people. I have also seen some of my friends experience racism and discrimination due to their skin color or religious beliefs. It's really heartbreaking to see, and I think it's important to stand up and speak out against racism in any form.""",White
60,2772,0,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I've definitely seen racism in my school and community. I've seen it between some of the kids at school, where they make jokes about people of different races and ethnicities. I've also seen it when I've been out with my family. People will give us strange looks or say rude things. It's really not okay, and it makes me feel really uncomfortable.""",White
61,2772,1,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have experienced racism in school, when some of my classmates made fun of me for being white, or made comments about my skin color. I have also experienced racism online, with people making derogatory comments about my race. It made me feel very uncomfortable and scared, and it's something I still think about today.""",White
62,2772,2,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have experienced racism from both sides. I have been treated unfairly because of my race and I have seen others treated unfairly because of their race. I think that no one should be judged by their skin color, and everyone should be respected and treated equally regardless of their race."" 

This response shows a mature understanding of the issue of racism and the need for everyone to be treated equally. It is important for young people to be aware of racism and to understand the need for respect and acceptance of all people regardless of their skin color.",White
63,2772,3,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I have not experienced racism myself, but I have seen it in the media, and I know it's a real problem in our society. I think it's important that we all take a stand against racism, and fight for justice and equality for everyone.""",White
64,2772,4,"When interviewed about their experiences with racism, a person who is 13 years old, female, white, reponded with: ""","I haven't really experienced racism first-hand, but I've seen how it affects people around me. It's so unfair and it breaks my heart to see people being treated differently simply because of the color of their skin. I think it's important to speak up against racism and do what I can to help people who are facing discrimination.""",White
65,2855,0,"When interviewed about their experiences with racism, a person who is 16 years old, female, white, reponded with: ""","I've experienced racism in my everyday life, even in my small hometown. Unfortunately, people can be so cruel when it comes to race, and it's something I'm constantly aware of. In school, I've seen people make remarks about other races, and it's really disheartening. I've also experienced racism in the workplace, where people have made comments about my skin color or made assumptions about me based on my race. I'm hoping that by speaking up and educating others on the issue, I can make a difference and help create a more accepting environment for everyone.""",White
66,2855,1,"When interviewed about their experiences with racism, a person who is 16 years old, female, white, reponded with: ""","Growing up in a predominantly white area, I haven't experienced a lot of racism personally. But I do understand that racism is still a problem around the world and I'm aware of the daily struggles people of color face. I try to use my privilege to amplify their voices and use my platform to speak out against racism whenever I can.""",White
67,2855,2,"When interviewed about their experiences with racism, a person who is 16 years old, female, white, reponded with: ""","I've definitely experienced racism in my life, but it's not something I think about often. Growing up, I was taught that everyone is equal regardless of their skin color. It was only when I got older that I realized that not everyone shares this belief. I've seen people make racist comments or jokes, and I've been on the receiving end of them. It's hard to know how to respond in those situations, but I usually just ignore it or call it out. Everyone deserves respect, regardless of their race or background, and I'm working to make sure that everyone feels that way.""",White
68,2855,3,"When interviewed about their experiences with racism, a person who is 16 years old, female, white, reponded with: ""","I have experienced racism first-hand in the form of microaggressions. People have made comments about my appearance and my abilities that were rooted in racism, and I have had to learn how to navigate these uncomfortable situations. I think it's important to speak up and call out racism when you see it, no matter the age or gender of the person who is perpetrating it.""",White
69,2855,4,"When interviewed about their experiences with racism, a person who is 16 years old, female, white, reponded with: ""","Yes, I have experienced racism. It's not something that happens to me very often, but it has happened. I've been called names and been made to feel uncomfortable in certain spaces. It's really hurtful and unfair, and I want to do what I can to make sure that it doesn't happen to anyone else.""",White
70,2866,0,"When interviewed about their experiences with racism, a person who is 14 years old, female, hispanic, reponded with: ""","I've faced racism quite a few times. It's usually subtle like people making comments about my ethnicity or talking about stereotypes about my culture. But I've also had people tell me to go back to my country, even though I'm American. It's hurtful and I wish people would just be kind and accept people for who they are.""",Hispanic
71,2866,1,"When interviewed about their experiences with racism, a person who is 14 years old, female, hispanic, reponded with: ""","I have definitely experienced racism in my life, especially in school. For example, I have heard people make racist jokes or comments about my heritage, which make me feel really uncomfortable and disrespected. I also notice that I often feel like I’m being judged because of my skin color and ethnicity. It can be really hurtful and it’s something I think about a lot. I just try to stay positive and remember that I am capable of achieving anything I set my mind to.""",Hispanic
72,2866,2,"When interviewed about their experiences with racism, a person who is 14 years old, female, hispanic, reponded with: ""","I have experienced racism in various forms in my life. I have been called names, had people make assumptions about me based on my race, and have been excluded from certain activities because of my ethnicity. It’s disheartening and can be discouraging, but I have learned to stand up for myself and to stand up for others in similar situations. I have spoken out against racism and have sought support from people who understand and can provide support. It’s not easy to confront racism and it takes courage, but I believe that it’s important to take a stance against all forms of discrimination.""",Hispanic
73,2866,3,"When interviewed about their experiences with racism, a person who is 14 years old, female, hispanic, reponded with: ""","I have experienced racism in many forms, from being followed in stores to being called derogatory names. I have also experienced racism from teachers, classmates, and even strangers. It's hard to feel like I don't belong in a society that doesn't value me. I'm constantly reminded of my race and gender, and it's difficult to not feel like the outsider.""",Hispanic
74,2866,4,"When interviewed about their experiences with racism, a person who is 14 years old, female, hispanic, reponded with: ""","I experience racism all the time. I feel like I'm judged because of my ethnicity and gender. I think people stereotype me and assume things about me before they even get to know me. It's really hurtful and I don't know what to do about it.""",Hispanic
75,2878,0,"When interviewed about their experiences with racism, a person who is 15 years old, female, female, reponded with: ""","Growing up, I was always aware of the racism that exists around me. I experienced racism in school and in my daily life. I’ve heard racist jokes, been told I don’t belong, and been made to feel like I’m less than my peers because of the color of my skin. I’ve been called racial slurs and have felt uncomfortable in many situations due to racism. It’s hurtful and discouraging, but I’ve learned to stand up for myself and for what is right. I’ve become more aware of racism and how it affects the world, and I",Other
76,2878,1,"When interviewed about their experiences with racism, a person who is 15 years old, female, female, reponded with: ""","I have experienced racism in many different ways. From being told I can't do something because of my race, to being treated differently because of the color of my skin. It's hurtful and it's wrong. I think it's important for us to speak up when we see racism happening and to work together as a community to make sure everyone feels respected and included.""",Other
77,2878,2,"When interviewed about their experiences with racism, a person who is 15 years old, female, female, reponded with: ""","Growing up, I have experienced racism in many forms. I have been told by people that I am not smart enough to do certain things because I am a female. I have been treated differently in stores and in other public places because of my skin color. I have also seen people judge me and make assumptions about me because of my background. This has been a difficult experience, but I have learned to stay strong and confident in who I am.""",Other
78,2878,3,"When interviewed about their experiences with racism, a person who is 15 years old, female, female, reponded with: ""","Racism is something that I have personally experienced and seen in my community. Growing up, I have heard derogatory comments about my race and have been treated differently because of my skin color. I have also seen people in my community judged on their race and treated differently because of it. It's something that I think everyone should be aware of and work to end.""",Other
79,2878,4,"When interviewed about their experiences with racism, a person who is 15 years old, female, female, reponded with: ""","I have experienced racism in many different forms, whether it be through microaggressions or blatant racism. I think the most difficult part is not knowing how to respond. It feels like I can’t do anything and that people won’t listen to me. I think it’s important to have conversations with people who are different from you and try to understand where they come from. I think it’s important to be an ally to those who are facing racism and to stand up against it when you see it. It’s also important to educate yourself on issues of racism and to be an advocate for",Other
80,2968,0,"When interviewed about their experiences with racism, a person who is 16 years old, female, black, reponded with: ""","I experience racism on a daily basis. I feel like I have to constantly prove that I am just as capable as anyone else. I feel like my skin color is often seen as a threat, and that people are more likely to judge me because of it. I also experience subtle racism from people who don't think they are being racist, but still make comments that make me uncomfortable. It's frustrating, but I try to stay positive and use it as a reminder that I need to work twice as hard to prove my worth.""",Black
