ids,gender,age,household,children,preltrad,ethnicity,paredu,income,parsedu,raised,religup
6010,0. Male,15. 15,1. Married,0. 0,2. Mainline Protestant,White,Some College but no degree,"$90,000-$100,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christianity
6073,0. Male,14. 14,1. Married,1. 1,4. Catholic,White,High School,"$70,000-$80,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
6076,1. Female,17. 17,4. Divorced,0. 0,4. Catholic,White,High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
6100,0. Male,17. 17,1. Married,0. 0,1. Conservative Protestant,White,Bachelors,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
6108,0. Male,16. 16,1. Married,0. 0,1. Conservative Protestant,White,Vo-Tech/Associates Diploma/Degree,"$40,000-$50,000",Less than High School,RAISED RELIGIOUS, 
6127,0. Male,13. 13,1. Married,1. 1,1. Conservative Protestant,Black,Vo-Tech/Associates Diploma/Degree,,Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS, 
6143,0. Male,14. 14,1. Married,2. 2,7. Unaffiliated,White,Some College but no degree,"More than $100,000",High School,RAISED RELIGIOUS, 
6222,0. Male,15. 15,1. Married,0. 0,4. Catholic,Hispanic,,"$90,000-$100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
6283,0. Male,16. 16,6. Never Married,2. 2,8. Other religion,Black,Less than High School,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Jehovahs Whitness
6285,0. Male,15. 15,1. Married,1. 1,1. Conservative Protestant,White,Beyond Bachelors but no degree,"$60,000-$70,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christianity
6291,0. Male,13. 13,1. Married,1. 1,7. Unaffiliated,White,Some College but no degree,"$70,000-$80,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Mormom
6354,1. Female,16. 16,1. Married,0. 0,4. Catholic,White,Vo-Tech/Associates Diploma/Degree,"$60,000-$70,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CATHOLIC
6355,0. Male,17. 17,1. Married,0. 0,2. Mainline Protestant,White,High School,"$40,000-$50,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christianity
6380,0. Male,13. 13,1. Married,2. 2,2. Mainline Protestant,White,Bachelors,"$70,000-$80,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
6399,1. Female,17. 17,4. Divorced,0. 0,4. Catholic,White,,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:presbyterian
6454,1. Female,13. 13,5. Separated,2. 2,3. Black Protestant,Black,High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
6498,1. Female,15. 15,4. Divorced,0. 0,3. Black Protestant,Other,Some College but no degree,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
6565,1. Female,16. 16,1. Married,0. 0,2. Mainline Protestant,White,Bachelors,"$50,000-$60,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Lutheran
6569,0. Male,13. 13,1. Married,3. 3,3. Black Protestant,Black,High School,"$20,000-$30,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTAIN
6659,1. Female,14. 14,1. Married,2. 2,7. Unaffiliated,White,Some College but no degree,"$40,000-$50,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
6702,1. Female,14. 14,1. Married,0. 0,7. Unaffiliated,Hispanic,High School,"$60,000-$70,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
6731,0. Male,13. 13,1. Married,1. 1,2. Mainline Protestant,Other,Bachelors,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
6768,1. Female,13. 13,1. Married,2. 2,1. Conservative Protestant,White,High School,"$60,000-$70,000",Some College but no degree,RAISED RELIGIOUS, 
6815,0. Male,15. 15,1. Married,1. 1,2. Mainline Protestant,White,Less than High School,"$40,000-$50,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
6875,0. Male,17. 17,4. Divorced,1. 1,1. Conservative Protestant,White,High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
6906,0. Male,14. 14,4. Divorced,0. 0,4. Catholic,Hispanic,High School,"$10,000-$20,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:cathloic
6912,0. Male,16. 16,1. Married,0. 0,4. Catholic,White,Some College but no degree,"$90,000-$100,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
6921,1. Female,16. 16,1. Married,0. 0,2. Mainline Protestant,White,High School,"$60,000-$70,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christianty
6941,1. Female,14. 14,4. Divorced,3. 3,2. Mainline Protestant,White,High School,"$10,000-$20,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Baptist
7001,0. Male,17. 17,1. Married,0. 0,4. Catholic,White,High School,"$60,000-$70,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
7214,0. Male,17. 17,1. Married,0. 0,2. Mainline Protestant,White,Beyond Bachelors but no degree,,Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:One of the various branches of Catholicism
7215,0. Male,17. 17,4. Divorced,0. 0,2. Mainline Protestant,White,Bachelors,"More than $100,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christain
7245,1. Female,17. 17,1. Married,1. 1,2. Mainline Protestant,White,Bachelors,"$80,000-$90,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Methodist
7264,0. Male,14. 14,1. Married,1. 1,2. Mainline Protestant,White,,,,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
7290,1. Female,13. 13,2. Living with unmarried partner,3. 3,1. Conservative Protestant,White,Some College but no degree,"$10,000-$20,000",Less than High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:pencostal
7299,1. Female,16. 16,1. Married,1. 1,4. Catholic,White,Vo-Tech/Associates Diploma/Degree,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Lutheran
7315,1. Female,15. 15,3. Widowed,0. 0,2. Mainline Protestant,Other,Graduate Degree,"$40,000-$50,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:presbyterian
7321,0. Male,14. 14,4. Divorced,1. 1,1. Conservative Protestant,White,Some College but no degree,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christianity
7325,1. Female,13. 13,4. Divorced,0. 0,7. Unaffiliated,White,High School,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christianity
7351,0. Male,15. 15,3. Widowed,0. 0,1. Conservative Protestant,White,High School,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:baptist
7384,1. Female,13. 13,1. Married,1. 1,7. Unaffiliated,White,Some College but no degree,,High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:baptist
7417,0. Male,14. 14,1. Married,2. 2,2. Mainline Protestant,White,Bachelors,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:methodist
7493,1. Female,17. 17,5. Separated,1. 1,7. Unaffiliated,White,High School,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
7496,0. Male,13. 13,2. Living with unmarried partner,1. 1,8. Other religion,White,Some College but no degree,"$30,000-$40,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:mormon
7572,1. Female,16. 16,1. Married,1. 1,1. Conservative Protestant,White,Vo-Tech/Associates Diploma/Degree,"$30,000-$40,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHATHOLIC
7745,0. Male,17. 17,1. Married,0. 0,4. Catholic,White,Bachelors,"$70,000-$80,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
7761,0. Male,15. 15,1. Married,0. 0,4. Catholic,White,Vo-Tech/Associates Diploma/Degree,"$70,000-$80,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
7973,0. Male,16. 16,1. Married,3. 3,2. Mainline Protestant,White,Graduate Degree,"More than $100,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Jewish and Christian
7999,0. Male,14. 14,1. Married,1. 1,1. Conservative Protestant,White,Some College but no degree,"$50,000-$60,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Luthern
8007,0. Male,13. 13,4. Divorced,1. 1,6. Mormon/LDS,,Vo-Tech/Associates Diploma/Degree,"Less than $10,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Latter Day Saints
8348,0. Male,13. 13,2. Living with unmarried partner,2. 2,3. Black Protestant,Black,High School,"$20,000-$30,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
8352,0. Male,14. 14,1. Married,1. 1,2. Mainline Protestant,White,,,Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
8381,1. Female,16. 16,1. Married,1. 1,8. Other religion,Other,High School,"$20,000-$30,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:jewhova witness jehovah's witness
8450,0. Male,17. 17,6. Never Married,0. 0,4. Catholic,Black,Bachelors,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:cathloic
8475,0. Male,14. 14,1. Married,1. 1,1. Conservative Protestant,Hispanic,Graduate Degree,"$60,000-$70,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
8485,1. Female,17. 17,1. Married,1. 1,6. Mormon/LDS,White,Bachelors,,Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:raised christian
8514,0. Male,14. 14,1. Married,4. 4,1. Conservative Protestant,Hispanic,Vo-Tech/Associates Diploma/Degree,"$30,000-$40,000",Less than High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:EPOSTALIC
8526,0. Male,15. 15,1. Married,5. 5,8. Other religion,Black,Some College but no degree,"$20,000-$30,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Muslim
8541,1. Female,14. 14,1. Married,0. 0,1. Conservative Protestant,Hispanic,Less than High School,"$30,000-$40,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:jewish and christian
8693,0. Male,17. 17,4. Divorced,2. 2,1. Conservative Protestant,White,High School,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Lutheran
9141,1. Female,16. 16,1. Married,0. 0,2. Mainline Protestant,White,Graduate Degree,"$50,000-$60,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Methodist
9203,1. Female,14. 14,1. Married,2. 2,1. Conservative Protestant,White,Bachelors,"$60,000-$70,000",Beyond Bachelors but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:lutheran
9240,1. Female,13. 13,1. Married,2. 2,4. Catholic,Black,Vo-Tech/Associates Diploma/Degree,"More than $100,000",,RAISED RELIGIOUS, 
